Position,Name,Salary,GameInfo,AvgPointsPerGame,teamAbbrev
WR,Stevie Johnson,4700,Den@SD 04:05PM ET,12.522,SD
WR,Stefon Diggs,4700,Sea@Min 01:00PM ET,15.038,Min
WR,James Jones,4600,GB@Det 08:25PM ET,12.655,GB
WR,Donte Moncrief,4600,Ind@Pit 08:30PM ET,13.309,Ind
WR,Willie Snead,4500,Car@NO 04:25PM ET,12.055,NO
WR,Davante Adams,4400,GB@Det 08:25PM ET,8.275,GB
WR,Kendall Wright,4300,Jax@Ten 01:00PM ET,11.113,Ten
WR,Tavon Austin,4300,Ari@StL 01:00PM ET,13.427,StL
WR,Pierre Garcon,4200,Dal@Was 08:30PM ET,10.709,Was
WR,Anquan Boldin,4100,SF@Chi 01:00PM ET,13.089,SF
WR,Terrance Williams,4100,Dal@Was 08:30PM ET,9.1,Dal
WR,Rishard Matthews,4000,Bal@Mia 01:00PM ET,12.691,Mia
WR,Marquess Wilson,4000,SF@Chi 01:00PM ET,7.582,Chi
WR,Rueben Randle,3900,NYJ@NYG 01:00PM ET,10.736,NYG
WR,Nate Washington,3800,Hou@Buf 01:00PM ET,11.878,Hou
WR,Doug Baldwin,3800,Sea@Min 01:00PM ET,14.582,Sea
WR,Michael Floyd,3800,Ari@StL 01:00PM ET,10.86,Ari
WR,Marvin Jones,3800,Cin@Cle 01:00PM ET,10.664,Cin
WR,Devin Funchess,3700,Car@NO 04:25PM ET,5.318,Car
WR,Ted Ginn Jr.,3600,Car@NO 04:25PM ET,9.455,Car
WR,Malcom Floyd,3600,Den@SD 04:05PM ET,8.21,SD
WR,Kenny Britt,3600,Ari@StL 01:00PM ET,6.673,StL
WR,Leonard Hankerson,3600,Atl@TB 01:00PM ET,9.963,Atl
WR,Cole Beasley,3600,Dal@Was 08:30PM ET,8.836,Dal
WR,Markus Wheaton,3600,Ind@Pit 08:30PM ET,8.127,Pit
WR,Cecil Shorts III,3600,Hou@Buf 01:00PM ET,11.605,Hou
WR,Seth Roberts,3600,KC@Oak 04:05PM ET,7.564,Oak
WR,Harry Douglas,3500,Jax@Ten 01:00PM ET,6.211,Ten
WR,Jamison Crowder,3500,Dal@Was 08:30PM ET,8.645,Was
WR,Brian Hartline,3400,Cin@Cle 01:00PM ET,7.53,Cle
WR,Jermaine Kearse,3400,Sea@Min 01:00PM ET,8.173,Sea
WR,Chris Givens,3400,Bal@Mia 01:00PM ET,4.43,Bal
WR,Devin Smith,3400,NYJ@NYG 01:00PM ET,3.188,NYJ
WR,Andre Johnson,3300,Ind@Pit 08:30PM ET,6.936,Ind
WR,Andrew Hawkins,3300,Cin@Cle 01:00PM ET,6.95,Cle
WR,Mike Wallace,3300,Sea@Min 01:00PM ET,6.036,Min
WR,Robert Woods,3300,Hou@Buf 01:00PM ET,7.755,Buf
WR,DeVante Parker,3300,Bal@Mia 01:00PM ET,2.69,Mia
WR,Dorial Green-Beckham,3300,Jax@Ten 01:00PM ET,4.936,Ten
WR,Marques Colston,3200,Car@NO 04:25PM ET,8.81,NO
WR,Roddy White,3200,Atl@TB 01:00PM ET,5.855,Atl
WR,Jerricho Cotchery,3200,Car@NO 04:25PM ET,6.956,Car
WR,Dwayne Harris,3200,NYJ@NYG 01:00PM ET,8.309,NYG
WR,Dontrelle Inman,3200,Den@SD 04:05PM ET,5.96,SD
WR,Torrey Smith,3200,SF@Chi 01:00PM ET,7.573,SF
WR,Marlon Brown,3200,Bal@Mia 01:00PM ET,2.52,Bal
WR,Kenny Stills,3200,Bal@Mia 01:00PM ET,6.027,Mia
WR,Josh Huff,3200,Phi@NE 04:25PM ET,6.04,Phi
WR,Nelson Agholor,3200,Phi@NE 04:25PM ET,3.913,Phi
WR,Greg Jennings,3000,Bal@Mia 01:00PM ET,2.836,Mia
WR,Lance Moore,3000,GB@Det 08:25PM ET,7.736,Det
WR,Jason Avant,3000,KC@Oak 04:05PM ET,1.836,KC
WR,Miles Austin,3000,Phi@NE 04:25PM ET,3.764,Phi
WR,Andre Caldwell,3000,Den@SD 04:05PM ET,2.655,Den
WR,Dwayne Bowe,3000,Cin@Cle 01:00PM ET,1.22,Cle
WR,Eric Weems,3000,Atl@TB 01:00PM ET,0.191,Atl
WR,Matthew Slater,3000,Phi@NE 04:25PM ET,0,NE
WR,Eddie Royal,3000,SF@Chi 01:00PM ET,8.167,Chi
WR,Wes Welker,3000,Ari@StL 01:00PM ET,4.233,StL
WR,Marcus Thigpen,3000,Hou@Buf 01:00PM ET,-0.167,Buf
WR,Jerome Simpson,3000,SF@Chi 01:00PM ET,2.133,SF
WR,Darrius Heyward-Bey,3000,Ind@Pit 08:30PM ET,4.536,Pit
WR,Seyi Ajirotutu,3000,Phi@NE 04:25PM ET,0.14,Phi
WR,Marlon Moore,3000,Cin@Cle 01:00PM ET,1.05,Cle
WR,Brandon Tate,3000,Cin@Cle 01:00PM ET,1.264,Cin
WR,Jordan Norwood,3000,Den@SD 04:05PM ET,2.971,Den
WR,Hakeem Nicks,3000,NYJ@NYG 01:00PM ET,1.4,NYG
WR,Marc Mariani,3000,SF@Chi 01:00PM ET,1.336,Chi
WR,Bryan Walters,3000,Jax@Ten 01:00PM ET,7.1,Jax
WR,Andre Roberts,3000,Dal@Was 08:30PM ET,3.389,Was
WR,Jacoby Jones,3000,Ind@Pit 08:30PM ET,0,Pit
WR,Riley Cooper,3000,Phi@NE 04:25PM ET,4.845,Phi
WR,Jeremy Ross,3000,KC@Oak 04:05PM ET,2.5,Oak
WR,Marcus Easley,3000,Hou@Buf 01:00PM ET,1.422,Buf
WR,Charles Johnson,3000,Sea@Min 01:00PM ET,2.411,Min
WR,Brian Quick,3000,Ari@StL 01:00PM ET,1.488,StL
WR,Deonte Thompson,3000,SF@Chi 01:00PM ET,0,Chi
WR,Jeremy Kerley,3000,NYJ@NYG 01:00PM ET,3.927,NYJ
WR,Brice Butler,3000,Dal@Was 08:30PM ET,3.45,Dal
WR,Griff Whalen,3000,Ind@Pit 08:30PM ET,3.518,Ind
WR,Brenton Bersin,3000,Car@NO 04:25PM ET,2.05,Car
WR,Frankie Hammond Jr.,3000,KC@Oak 04:05PM ET,0,KC
WR,Jaron Brown,3000,Ari@StL 01:00PM ET,2.527,Ari
WR,T.J. Graham,3000,Car@NO 04:25PM ET,1.8,NO
WR,Keshawn Martin,3000,Phi@NE 04:25PM ET,5.825,NE
WR,Myles White,3000,NYJ@NYG 01:00PM ET,0.986,NYG
WR,B.J. Daniels,3000,Sea@Min 01:00PM ET,0.44,Sea
WR,Jarius Wright,3000,Sea@Min 01:00PM ET,4.327,Min
WR,Russell Shepard,3000,Atl@TB 01:00PM ET,1.125,TB
WR,Mohamed Sanu,3000,Cin@Cle 01:00PM ET,6.164,Cin
WR,Ryan Grant,3000,Dal@Was 08:30PM ET,4.118,Was
WR,Kevin Norwood,3000,Car@NO 04:25PM ET,0,Car
WR,Bennie Fowler,3000,Den@SD 04:05PM ET,2.773,Den
WR,Jared Abbrederis,3000,GB@Det 08:25PM ET,1.94,GB
WR,Nick Williams,3000,Atl@TB 01:00PM ET,3.267,Atl
WR,Devin Street,3000,Dal@Was 08:30PM ET,1.95,Dal
WR,Quincy Enunwa,3000,NYJ@NYG 01:00PM ET,3.786,NYJ
WR,TJ Jones,3000,GB@Det 08:25PM ET,0.16,Det
WR,Kenbrell Thompkins,3000,NYJ@NYG 01:00PM ET,6.6,NYJ
WR,Rod Streater,3000,KC@Oak 04:05PM ET,1.8,Oak
WR,Joshua Bellamy,3000,SF@Chi 01:00PM ET,2.927,Chi
WR,Neal Sterling,3000,Jax@Ten 01:00PM ET,0,Jax
WR,Javontee Herndon,3000,Den@SD 04:05PM ET,3.3,SD
WR,Jonathan Krause,3000,Phi@NE 04:25PM ET,0,Phi
WR,Andrew Turzilli,3000,Jax@Ten 01:00PM ET,0,Ten
WR,Brandon Coleman,3000,Car@NO 04:25PM ET,3.845,NO
WR,Albert Wilson,3000,KC@Oak 04:05PM ET,5.889,KC
WR,DeAndrew White,3000,SF@Chi 01:00PM ET,0.95,SF
WR,Kaelin Clay,3000,Bal@Mia 01:00PM ET,3,Bal
WR,Matt Hazel,3000,Bal@Mia 01:00PM ET,0,Mia
WR,Keith Mumphery,3000,Hou@Buf 01:00PM ET,2.445,Hou
WR,Justin Hardy,3000,Atl@TB 01:00PM ET,3.9,Atl
WR,J.J. Nelson,3000,Ari@StL 01:00PM ET,7.25,Ari
WR,Kevin Smith,3000,Sea@Min 01:00PM ET,1.55,Sea
WR,Andre Holmes,3000,KC@Oak 04:05PM ET,4.273,Oak
WR,Corey Fuller,3000,GB@Det 08:25PM ET,0.81,Det
WR,Geremy Davis,3000,NYJ@NYG 01:00PM ET,0.41,NYG
WR,Paul Richardson,3000,Sea@Min 01:00PM ET,5,Sea
WR,Cameron Meredith,3000,SF@Chi 01:00PM ET,2.388,Chi
WR,Chris Hogan,3000,Hou@Buf 01:00PM ET,7.051,Buf
WR,Corey Brown,3000,Car@NO 04:25PM ET,6.8,Car
WR,Chris Conley,3000,KC@Oak 04:05PM ET,3.518,KC
WR,Quinton Patton,3000,SF@Chi 01:00PM ET,4.682,SF
WR,Quan Bray,3000,Ind@Pit 08:30PM ET,0,Ind
WR,Sammie Coates,3000,Ind@Pit 08:30PM ET,0.3,Pit
WR,Tre McBride,3000,Jax@Ten 01:00PM ET,0,Ten
WR,Phillip Dorsett,3000,Ind@Pit 08:30PM ET,4.729,Ind
WR,Rashad Ross,3000,Dal@Was 08:30PM ET,2.325,Was
WR,Ty Montgomery,3000,GB@Det 08:25PM ET,7,GB
WR,Marqise Lee,3000,Jax@Ten 01:00PM ET,2.52,Jax
WR,Adam Humphries,3000,Atl@TB 01:00PM ET,4.475,TB
WR,Bruce Ellington,3000,SF@Chi 01:00PM ET,1.638,SF
WR,Tyler Lockett,3000,Sea@Min 01:00PM ET,8.382,Sea
WR,Bradley Marquez,3000,Ari@StL 01:00PM ET,1,StL
WR,Rashad Greene,3000,Jax@Ten 01:00PM ET,6.1,Jax
WR,Chuck Jacobs,3000,Bal@Mia 01:00PM ET,0,Bal
WR,Jeremy Butler,3000,Bal@Mia 01:00PM ET,5.767,Bal
WR,De'Anthony Thomas,3000,KC@Oak 04:05PM ET,4.54,KC
WR,Cody Latimer,3000,Den@SD 04:05PM ET,1.84,Den
WR,Brittan Golden,3000,Ari@StL 01:00PM ET,0,Ari
WR,Tyrell Williams,3000,Den@SD 04:05PM ET,0,SD
WR,Cordarrelle Patterson,3000,Sea@Min 01:00PM ET,0.955,Min
WR,Chris Harper,3000,Phi@NE 04:25PM ET,-0.333,NE
WR,Lucky Whitehead,3000,Dal@Was 08:30PM ET,0.86,Dal
WR,Jaelen Strong,3000,Hou@Buf 01:00PM ET,4.16,Hou
WR,Adam Thielen,3000,Sea@Min 01:00PM ET,2,Min
WR,Mario Alford,3000,Cin@Cle 01:00PM ET,0,Cin
WR,Taylor Gabriel,3000,Cin@Cle 01:00PM ET,4.93,Cle
WR,Jeff Janis,3000,GB@Det 08:25PM ET,0.9,GB
WR,Donteea Dye,3000,Atl@TB 01:00PM ET,2.52,TB
